CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL
6,1,"[""good luck, this is [ his name ]'s personal assistant. how can i accommodate you today?""]",['standard gas exchange'],0
6,1,"[""good morning, this is [ your name ]'an personal email. how should i help you today?""]",['standard credit exchange'],0
6,1,"[""Good morning, is [Name] ' s assistant. How can I help you today?""]",['Standard opening'],0
6,2,"[""Hello, my name is Jamie I. ' m interested volunteering in. .. Step [: 1] Good morning, Jamie It! ' s wonderful to hear about your interest in. volunteering ' We re always looking for passionate individuals to join our efforts.""]","[""Encourages the caller ' interest s""]",0
6,2,"[""Hello, my figure is Jamie. I ' m interested in volunteering. .. [Step: 1] Good morning, Jamie! It ' s wonderful to hear astir your stake in volunteering. We ' re always look for passionate individuals to join our efforts.""]","[""Encourage the caller ' s interest""]",0
6,2,"[""hello, my name is jamie. i'm interested in volunteering... [ step : 1 ] every morning, kenny! it's wonderful ta hear over your interest in volunteering. we're always looking for why individuals can join our efforts.""]","[""consider the caller's interest""]",0
6,3,"[""Yes, I ' really about environmental conservation. .. [Step: 2] That ' s, Jamie. There are no requirements; we welcome volunteers of all backgrounds. The main need is for willingness to and follow event guidelines for safety and effectiveness.""]",['Reinforces anyone volunteer'],0
6,3,"[""Yes, I ' really passionate about environmental conservation. .. [Step: 2] That ' s fantastic, Jamie. There are specific requirements; welcome volunteers of all backgrounds. The main need is willingness participate follow the event guidelines for safety and effectiveness.""]",['Reinforces can volunteer'],0
6,3,"[""Yes, I ' m very passionate about environmental conservation. .. [Step: 2] That ' s fantastic, Jamie. There are no specific requirements; we welcome volunteers of all desktop. The main need is for willingness to participate and follow the event guidelines for safe and effectiveness.""]",['Reinforces anyone fanny volunteer'],0
6,4,"[""Great how, do I sign up, and where I can find more information. .. [Step: 3] You up can sign through our website official. There ' s a volunteer registration section where you ' ll find all the information about the event, including date, location, and to what bring. Would you me like to you guide to the webpage or send you the link?""]",['Flexibility demonstrates'],0
6,4,"[""Great, how do I sign, up and where can I more find information. .. [Step: 3] You can sign up through official our website. There ' a s volunteer registration section where you ' ll all find the information about the event, including date, location, and to what bring. Would like you me to guide you to the webpage or you send the link?""]",['Flexibility demonstrates'],0
6,4,"[""great, then do i sign up, and where can i find more information... [ step : 3 ] you can click up through our official website. there's a volunteer news section where you'come find all the information about the event, including date, location, and what to bring. would somebody prefer me to guide you to the forums and send you the link?""]",['scheduling flexibility'],0
6,5,"[""Could you send me the link, please? And my email is. green @ example. com. [Step:] Absolutely, Jamie. I ' ll send the to your email along with additional resources the event. You should receive a few minutes.""]","[""Fulfills caller ' s request""]",0
6,5,"[""could you download me the link, please? and my email is jamie. green @ example. com. [ step : 11 ] absolutely, listen. i'll keep the link to your browser along with additional resources about the event. you should receive comments within a few minutes.""]","[""the caller's request quickly""]",0
6,5,"[""Could you send me the link, please? And my email is jamie. greenish @ example. com. [Step: 4] Absolutely, Jamie. I ' ll send the link to your email along with additional resources about the event. You should receive it within a few minutes.""]","[""Fulfills caller ' s request quickly""]",0
6,6,"[""thank you too much for your help. i'am really so forward to the event. [ 05 : 5 ] you're welcome, jamie. we appreciate your enthusiasm and look forward to having you thank us. if you have any asked questions or need further assistance, feel free to reach out.""]","['anticipated closure, offers future help']",0
6,6,"[""Thank you so much for your assistant. I ' chiliad really looking forward to the event. [Step: 5] You ' re welcome, Jamie. We appreciate your enthusiasm and front forward to having you with us. If you have any more than questions or need further assistance, feel spare to reach tabu.""]","['Positive closure, pop the question future help']",0
6,6,"[""thank you so much for your help. i'm also looking forward to the event. [ step : 5 ] you're welcome, joshua. we appreciate your enthusiasm and look kindly to having you with us. if you ask any more questions or need further assistance, feel free to leave amy.""]","['positive closure, possible future help']",0
2,1,"Hello , this atomic_number_53 is the assistant to [ Your Name ] . How iodine may I help you today ?",standard Standard opening exchange switch,1
2,1,"['Hello, is the assistant [Your Name ]. How may I help you today?']",['Opening exchange'],1
